id,name,iso_country,length_ft,width_ft
32413,Sadah Airport,YE,11483,
6093,Dr. Luis Maria Argaña International Airport,PY,11483,131
6300,Simón Bolívar International Airport,VE,11483,148
309579,Mattala Rajapaksa International Airport,LK,11483,197
2301,Lennart Meri Tallinn Airport,EE,11417,148
6195,Johan Adolf Pengel International Airport,SR,11417,148
4979,Faa'a International Airport,PF,11360,148
4951,Lynden Pindling International Airport,BS,11353,150
2307,Helsinki Vantaa Airport,FI,11286,197
6404,Hato International Airport,CW,11188,197
2090,Kotoka International Airport,GH,11165,200
2890,Yaoundé Nsimalen International Airport,CM,11155,148
323315,Nouakchott–Oumtounsy International Airport,MR,11155,197
4610,Belgrade Nikola Tesla Airport,RS,11155,148
2878,Sir Seewoosagur Ramgoolam International Airport,MU,11056,148
3099,Roberts International Airport,LR,11000,150
4638,Las Américas International Airport,DO,11000,200
6360,Grantley Adams International Airport,BB,11000,150
2697,Luleå Airport,SE,10990,148
2875,Bata Airport,GQ,10860,200
2097,Bouaké Airport,CI,10827,148
2868,Maya-Maya Airport,CG,10827,148
323021,Oyo Ollombo Airport,CG,10827,150
3984,Dubrovnik Airport,HR,10827,148
4386,Ljubljana Jože Pučnik Airport,SI,10827,148
2089,Bobo Dioulasso Airport,BF,10826,148
3146,Conakry International Airport,GN,10826,148
6363,Martinique Aimé Césaire International Airport,MQ,10826,147
44483,Enfidha - Hammamet International Airport,TN,10826,196
4959,Nadi International Airport,FJ,10739,150
3150,Amílcar Cabral International Airport,CV,10735,148
5021,La Tontouta International Airport,NC,10663,148
26589,Macau International Airport,MO,10544,148
4820,Monseñor Óscar Arnulfo Romero International Airport,SV,10500,148
6410,Piarco International Airport,TT,10500,150
2758,Riga International Airport,LV,10499,148
2905,Roland Garros Airport,RE,10499,148
3097,Osvaldo Vieira International Airport,GW,10499,148
6247,Carrasco International /General C L Berisso Airport,UY,10499,148
3022,Moshoeshoe I International Airport,LS,10498,148
3066,Modibo Keita International Airport,ML,10498,148
3095,Lungi International Airport,SL,10498,150
2537,Shannon Airport,IE,10495,148
6198,Cayenne – Félix Eboué Airport,GF,10486,148
4617,M. R. Štefánik Airport,SK,10466,148
26386,Khudzhand Airport,TJ,10450,164
3174,Djibouti-Ambouli Airport,DJ,10335,150
2908,Ivato Airport,MG,10171,148
3247,Juba International Airport,SS,10171,148
27212,Buyant-Ukhaa International Airport,MN,10170,197
2967,M'Vengue El Hadj Omar Bongo Ondimba International Airport,GA,10105,148
123,Keflavik International Airport,IS,10056,197
2877,RAF Ascension Island,SH,10019,150
26596,Tribhuvan International Airport,NP,10007,148
4793,Tocumen International Airport,PA,10006,148
6370,Henry E Rohlsen Airport,VI,10004,150
